configuration_id,TARGET_CLASS,criterion,Size,Length,MutationScore
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATM,BRANCH,9,65,0.2777777777777778
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATMCard,BRANCH,8,32,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,11,0.8823529411764706
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,2,7,0.6739130434782609
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATMCard,BRANCH,8,38,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.7608695652173914
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.6470588235294118
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.CurrentAccount,BRANCH,3,10,0.6521739130434783
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATM,BRANCH,9,64,0.3333333333333333
Branch,tutorial.ATMCard,BRANCH,8,24,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.5652173913043478
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7058823529411765
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.CurrentAccount,BRANCH,2,8,0.8478260869565217
Branch,tutorial.Bank,BRANCH,4,13,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATM,BRANCH,9,65,0.3333333333333333
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7352941176470589
Branch,tutorial.ATM,BRANCH,10,76,0.2777777777777778
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
