configuration_id,TARGET_CLASS,criterion,Size,Length,MutationScore
Branch,tutorial.ATM,BRANCH,10,72,0.3333333333333333
Branch,tutorial.ATMCard,BRANCH,8,32,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6304347826086957
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.6470588235294118
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
tutorial.ATM,1.0,0.85,0.943740795287187,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
